x,v-velocity
0.0,0.0
0.0625,0.081551917692471512
0.125,0.12659298585631262
0.1875,0.14881326399300385
0.25,0.15215183408937275
0.3125,0.14501748256823946
0.375,0.12587587882227463
0.4375,0.096002578573928507
0.5,0.055800749892698585
0.5625,0.0020672845111849641
0.625,-0.057567522495982848
0.6875,-0.12615820659493435
0.75,-0.18194007827693412
0.8125,-0.22038988243869814
0.875,-0.20260478908830765
0.9375,-0.12687847955118278
1.0,0.0
