y,u-velocity
0.0,0.0
0.0625,-0.038654810498819137
0.125,-0.069506357559769028
0.1875,-0.098508384714947037
0.25,-0.12414393233092114
0.3125,-0.14991511092083185
0.375,-0.16951102062976814
0.4375,-0.18424294673566649
0.5,-0.18244323921844402
0.5625,-0.16685494823353444
0.625,-0.12527748265240471
0.6875,-0.067146462704638032
0.75,0.01766099218514542
0.8125,0.12739541483011071
0.875,0.29874841971789451
0.9375,0.5781432724512684
1.0,1.0
