x,v-velocity
0.0,0.0
0.052631578947368418,0.07377654671271365
0.10526315789473684,0.11990361637620627
0.15789473684210525,0.14683068389573933
0.21052631578947367,0.15623692430355679
0.26315789473684209,0.15812957003638439
0.31578947368421051,0.14728640296806519
0.36842105263157893,0.13278935492530555
0.42105263157894735,0.1056393891489722
0.47368421052631576,0.074930375846933669
0.52631578947368418,0.030697622771002749
0.57894736842105254,-0.016270398640713606
0.63157894736842102,-0.074542061090809866
0.68421052631578949,-0.12928425100702709
0.73684210526315785,-0.18417956295343196
0.78947368421052633,-0.21753609927879039
0.84210526315789469,-0.22509291620764416
0.89473684210526316,-0.18409543613132129
0.94736842105263153,-0.10235969629327488
1.0,0.0
