nIter,residual
1,1.0
2,0.91091712242586398
3,0.83069214191331708
4,0.75824877394450252
5,0.69293819892274844
6,0.63432634059255311
7,0.58203513772508497
8,0.53564128611083317
9,0.49463339004668322
10,0.45842079418475951
11,0.42637798764405854
12,0.39790229302887575
13,0.37246324943137499
14,0.34962960883206112
15,0.32907059040939857
16,0.31053733537675426
17,0.29383556586023429
18,0.27880131091258548
19,0.26528488609235068
20,0.25314629693336504
21,0.24225794649127799
22,0.23250914441553963
23,0.22380751344906932
24,0.21607525342517658
25,0.20924156832188759
26,0.20323480866543639
27,0.19797816471902518
28,0.19339117335831002
29,0.18939679595258668
30,0.18593161434644748
31,0.18295568482183902
32,0.18045898818049894
33,0.17846277704022398
34,0.17701573790995681
35,0.17618614944848923
36,0.1760518157994008
37,0.17668947542861738
38,0.17816485392253339
39,0.18051636588376246
40,0.18370762651112107
41,0.1877698793338734
42,0.19264947044841726
43,0.19825417107408627
44,0.20445505229886268
45,0.21109192862389023
46,0.21798207886891111
47,0.22493134915356086
48,0.23159561398991144
49,0.23764439367244167
50,0.24319119098533201
51,0.24812295111999891
52,0.25236577728362325
53,0.25588630514355548
54,0.25869021352134886
55,0.26081820707725883
56,0.26233988590727181
57,0.26334599696391686
58,0.26393967165148358
59,0.26422738768655318
60,0.26431050841489451
61,0.26427827969114798
62,0.26420303423331237
63,0.26413803425831262
64,0.26411791087238479
65,0.26416114215200442
66,0.2642736049690434
67,0.26445208188520264
68,0.26468677786785394
69,0.2649623690685094
70,0.26525772719218127
71,0.26554503050345846
72,0.26578928131933932
73,0.26594917611210755
74,0.26597983126948188
75,0.26583720876308015
76,0.2654834479658621
77,0.2648919179018403
78,0.26405078712450158
79,0.26296425950090768
80,0.26165121645821909
81,0.26014164470441103
82,0.25847171500278893
83,0.25667857180302994
84,0.25479575770702811
85,0.25284981297708298
86,0.25085813570691307
87,0.24882786620473293
88,0.24675550806757948
89,0.24454347569436166
90,0.24226235504074184
91,0.23988590374688729
92,0.23738328539937542
93,0.23472789268267075
94,0.23190573277559473
95,0.22892392545057472
96,0.22581745095801423
97,0.22265221745694133
98,0.21952298108203264
99,0.2165456194129915
100,0.21384457206722512
101,0.21153761478954858
102,0.20972108918767676
103,0.2084588173661264
104,0.20777695917256614
105,0.20766524850756249
106,0.20808307524500075
107,0.20896761207733899
108,0.21024114497500576
109,0.21181586309956132
110,0.21359599266732704
111,0.21547855489523685
112,0.21735463532537408
113,0.21911272410212054
114,0.22064467929079817
