x,v-velocity
0.0,0.0
0.052631578947368418,0.089184311081059009
0.10526315789473684,0.13833698213568071
0.15789473684210525,0.16362371011166427
0.21052631578947367,0.17645248832283755
0.26315789473684209,0.17743858707192459
0.31578947368421051,0.16634138396737247
0.36842105263157893,0.14391924119761687
0.42105263157894735,0.11297943931350958
0.47368421052631576,0.076626899757502462
0.52631578947368418,0.037508942095737643
0.57894736842105254,-0.002888698749192219
0.63157894736842102,-0.044468466744515822
0.68421052631578949,-0.089000672052514523
0.73684210526315785,-0.13919451015978321
0.78947368421052633,-0.19895247331484509
0.84210526315789469,-0.26164854166468465
0.89473684210526316,-0.30469362481244783
0.94736842105263153,-0.24568256638096833
1.0,0.0
