x,v-velocity
0.0,0.0
0.052631578947368418,0.029727804274252957
0.10526315789473684,0.050636117944911629
0.15789473684210525,0.063225936429508287
0.21052631578947367,0.068488823217338485
0.26315789473684209,0.067428762447350674
0.31578947368421051,0.060903419834015607
0.36842105263157893,0.049631549963321669
0.42105263157894735,0.03427361918437094
0.47368421052631576,0.015575165600754219
0.52631578947368418,-0.0054576623667166955
0.57894736842105254,-0.027383940432922034
0.63157894736842102,-0.048201122954715493
0.68421052631578949,-0.065338331666799143
0.73684210526315785,-0.075880481173882589
0.78947368421052633,-0.077160542442840346
0.84210526315789469,-0.067795883070489546
0.89473684210526316,-0.048889093693311195
0.94736842105263153,-0.024322219633751779
1.0,0.0
